id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0044,México,,,Lago Titicaca,Puno,NA,3,,Auto
V0045,Colombia,16,F,Cusco Ciudad,Cusco,,,,NA
V0046,Perú,,,Centro Histórico,Lima,2024-07-14,12,,NA
V0047,Bolivia,,,Valle del Colca,Arequipa,2024-05-28,4,,Bus
V0048,Argentina,,M,Iquitos,Loreto,NA,13,2288.33,Barco
V0049,Bolivia,65,M,Valle del Colca,Arequipa,NA,,4440.01,Avión
V0050,Argentina,,F,Chan Chan,La Libertad,NA,,,Auto
V0051,Argentina,67,,Valle del Colca,Arequipa,NA,,,Avión
V0052,Colombia,42,O,Huacachina,Ica,NA,,,Bus
V0053,Colombia,23,O,Centro Histórico,Lima,2024-03-03,12,4436.34,Barco
V0054,Perú,58,,Huacachina,Ica,2025-05-28,5,,Tren
V0055,México,,F,Valle del Colca,Arequipa,NA,12,,NA
V0056,Perú,66,M,Valle del Colca,Arequipa,2024-06-27,12,,Bus
V0057,USA,54,O,Chan Chan,La Libertad,,,605.22,
V0058,Chile,40,M,Miraflores,Lima,NA,14,2022.45,Bus
V0059,Perú,,F,Iquitos,Loreto,,,,Tren
V0060,Argentina,16,,Huacachina,Ica,NA,,4750.76,Auto
V0061,Alemania,30,O,Centro Histórico,Lima,2024-11-05,12,,Avión
V0062,Perú,,F,Miraflores,Lima,,3,,Tren
V0063,Colombia,,,Cusco Ciudad,Cusco,,,,
V0064,Perú,24,O,Iquitos,Loreto,2025-07-18,9,1596.83,Tren
V0065,Perú,,F,Huacachina,Ica,NA,,1965.2,
V0066,Ecuador,,O,Chan Chan,La Libertad,2024-10-27,,,Tren
V0067,Perú,,,Iquitos,Loreto,NA,,,NA
V0068,Brasil,,M,Huacachina,Ica,,14,,Tren
V0069,México,45,,Centro Histórico,Lima,NA,14,,Avión
V0070,Perú,,F,Cusco Ciudad,Cusco,,3,,Auto
V0071,Colombia,,F,Miraflores,Lima,NA,6,,Barco
V0072,Perú,,O,Centro Histórico,Lima,,,,Bus
V0073,México,,O,Huacachina,Ica,,3,,Auto
V0074,Perú,75,F,Iquitos,Loreto,NA,,,Barco
V0075,México,42,M,Cusco Ciudad,Cusco,2025-11-02,,,NA
V0076,México,22,,Valle del Colca,Arequipa,2025-02-08,,,Tren
V0077,Ecuador,33,,Huacachina,Ica,,,3249.46,Auto
V0078,Ecuador,,,Centro Histórico,Lima,,,3726.23,
V0079,Perú,27,M,Huacachina,Ica,NA,,3927.34,Tren
V0080,Bolivia,17,F,Chan Chan,La Libertad,NA,10,1488.84,Auto
V0081,Francia,73,F,Iquitos,Loreto,2024-05-15,,4451.57,Barco
V0082,México,,,Lago Titicaca,Puno,,,,Barco
V0083,México,62,,Machu Picchu,Cusco,,13,,NA
V0084,México,62,F,Lago Titicaca,Puno,NA,6,4477.43,NA
V0085,Brasil,21,O,Chan Chan,La Libertad,NA,7,889.93,Auto
V0086,USA,,,Chan Chan,La Libertad,2024-05-29,12,,Barco
V0087,México,70,,Huacachina,Ica,2025-05-26,6,,Bus
V0088,México,55,M,Machu Picchu,Cusco,,13,3614.03,Bus
V0089,Argentina,71,,Centro Histórico,Lima,,3,304.03,NA
V0090,Chile,,,Iquitos,Loreto,NA,5,,Avión
V0091,Perú,,O,Iquitos,Loreto,2025-04-30,,,Tren
V0092,México,47,O,Iquitos,Loreto,2024-05-31,,3829.15,Tren
V0093,Colombia,33,,Huacachina,Ica,,4,,Bus
V0094,Colombia,,M,Machu Picchu,Cusco,2024-01-06,,2413.51,NA
V0095,México,,F,Lago Titicaca,Puno,NA,,,
V0096,Perú,52,M,Iquitos,Loreto,NA,,412.12,Bus
V0097,Ecuador,69,O,Chan Chan,La Libertad,NA,,,NA
V0098,Perú,,F,Miraflores,Lima,2025-03-01,10,96.77,Bus
V0099,México,,O,Cusco Ciudad,Cusco,,1,4534.17,Auto
V0100,Argentina,,O,Lago Titicaca,Puno,NA,7,,Auto
V0101,Perú,,O,Huacachina,Ica,NA,,3393.09,Tren
V0102,Perú,66,O,Miraflores,Lima,2024-10-17,,,Bus
V0103,USA,,F,Iquitos,Loreto,2024-04-20,,107.12,Barco
V0104,España,,M,Lago Titicaca,Puno,2025-06-06,,,NA
V0105,Chile,17,,Miraflores,Lima,NA,,1910.64,
V0106,Bolivia,,F,Huacachina,Ica,NA,,2136.36,Bus
V0107,Perú,65,O,Valle del Colca,Arequipa,2025-10-17,,,
V0108,Perú,,,Miraflores,Lima,NA,14,2939.56,NA
V0109,México,,,Lago Titicaca,Puno,NA,,3847.35,NA
V0110,Perú,,M,Miraflores,Lima,NA,,,Avión
V0111,Perú,,,Miraflores,Lima,2024-04-28,7,2324.82,Avión
V0112,Argentina,,,Centro Histórico,Lima,,,,Avión
V0113,USA,41,M,Valle del Colca,Arequipa,NA,2,,Bus
V0114,Perú,,,Lago Titicaca,Puno,,,,Auto
V0115,Argentina,,,Centro Histórico,Lima,,,2787.46,Auto
V0116,México,,O,Chan Chan,La Libertad,2025-04-27,,4558.93,Avión
V0117,Argentina,,M,Huacachina,Ica,2025-07-17,2,,NA
V0118,Argentina,50,,Iquitos,Loreto,2025-01-28,6,3755.19,Auto
V0119,Colombia,23,,Huacachina,Ica,,,,
V0120,Argentina,,,Iquitos,Loreto,NA,1,2052.85,Auto
V0121,Brasil,,,Huacachina,Ica,2025-05-29,,,Avión
V0122,Perú,50,,Machu Picchu,Cusco,NA,,3518.52,Tren
V0123,México,,,Valle del Colca,Arequipa,2025-03-10,,3199.0,Barco
V0124,USA,,O,Valle del Colca,Arequipa,2025-09-17,,,Bus
V0125,España,37,,Machu Picchu,Cusco,NA,3,,Avión
V0126,Perú,30,,Lago Titicaca,Puno,,10,2123.82,Tren
V0127,Argentina,,O,Lago Titicaca,Puno,,,,Barco
V0128,Ecuador,17,,Centro Histórico,Lima,NA,,,
V0129,Colombia,,,Huacachina,Ica,2024-08-19,6,3086.34,Bus
V0130,México,,O,Chan Chan,La Libertad,NA,1,4686.54,
V0131,Colombia,,O,Huacachina,Ica,NA,3,,Barco
V0132,Argentina,30,F,Iquitos,Loreto,2024-07-23,8,,Avión
V0133,Perú,,O,Cusco Ciudad,Cusco,NA,,4100.0,Tren
V0134,México,,O,Centro Histórico,Lima,,13,771.11,
V0135,Perú,,F,Huacachina,Ica,,,1763.1,Bus
V0136,Perú,,,Iquitos,Loreto,2025-02-05,,2954.24,NA
V0137,México,,O,Chan Chan,La Libertad,NA,3,1886.59,
V0138,Chile,,,Iquitos,Loreto,2024-08-07,,,
V0139,Francia,,O,Lago Titicaca,Puno,NA,8,2720.32,NA
V0140,Colombia,,M,Cusco Ciudad,Cusco,,5,613.09,Tren
V0141,Colombia,74,O,Lago Titicaca,Puno,2025-01-25,12,,NA
V0142,Argentina,50,,Valle del Colca,Arequipa,2025-10-06,,1975.16,
V0143,Perú,,O,Lago Titicaca,Puno,NA,,,NA
V0144,Perú,,,Lago Titicaca,Puno,,,,Avión
V0145,Ecuador,,,Huacachina,Ica,,10,,Tren
V0146,Colombia,,O,Valle del Colca,Arequipa,2025-02-26,,,Auto
V0147,Argentina,,O,Centro Histórico,Lima,,5,,NA
V0148,México,,M,Chan Chan,La Libertad,NA,2,1117.65,Tren
V0149,USA,48,F,Lago Titicaca,Puno,NA,7,,Bus
V0150,Brasil,,F,Miraflores,Lima,NA,,928.93,Tren
V0151,Bolivia,,,Lago Titicaca,Puno,2025-04-12,14,,NA
V0152,Perú,39,M,Iquitos,Loreto,,7,,Auto
V0153,Ecuador,,O,Cusco Ciudad,Cusco,,7,3345.81,Tren
V0154,Perú,59,O,Miraflores,Lima,NA,,2924.09,Auto
V0155,Perú,,F,Lago Titicaca,Puno,2024-03-16,3,699.76,Auto
V0156,Perú,40,,Miraflores,Lima,,4,554.32,Auto
V0157,México,64,M,Huacachina,Ica,,14,,Avión
V0158,Perú,,F,Lago Titicaca,Puno,NA,11,3534.05,Barco
V0159,Chile,,M,Miraflores,Lima,NA,,,
V0160,USA,,,Cusco Ciudad,Cusco,NA,13,,Auto
V0161,Colombia,,O,Huacachina,Ica,,7,4568.39,Barco
V0162,Chile,,M,Valle del Colca,Arequipa,,3,426.02,Auto
V0163,México,,M,Chan Chan,La Libertad,NA,2,2219.54,Tren
V0164,Perú,,M,Huacachina,Ica,NA,6,3206.18,NA
V0165,México,,M,Iquitos,Loreto,NA,4,3959.15,Auto
V0166,Colombia,21,O,Cusco Ciudad,Cusco,NA,,,Auto
V0167,Perú,45,O,Iquitos,Loreto,NA,7,,
V0168,Perú,,,Iquitos,Loreto,2024-04-05,11,2952.69,Avión
V0169,Perú,28,O,Centro Histórico,Lima,2024-09-04,1,,
V0170,Ecuador,36,,Iquitos,Loreto,,12,4131.47,Bus
V0171,USA,,F,Lago Titicaca,Puno,,,,Auto
V0172,Perú,,,Iquitos,Loreto,NA,,1294.75,Tren
V0173,España,31,F,Huacachina,Ica,,11,2811.37,Avión
V0174,Perú,,F,Valle del Colca,Arequipa,NA,,3895.6,
V0175,Perú,56,F,Lago Titicaca,Puno,NA,,1292.68,Auto
V0176,Chile,,,Centro Histórico,Lima,2025-05-08,13,3199.51,Bus
V0177,Ecuador,,F,Valle del Colca,Arequipa,,,,NA
V0178,Chile,,M,Huacachina,Ica,NA,3,,Barco
V0179,México,,M,Iquitos,Loreto,NA,,,Barco
V0180,Brasil,,,Lago Titicaca,Puno,,,669.75,Avión
V0181,Colombia,33,F,Chan Chan,La Libertad,,,4483.54,NA
V0182,Perú,63,,Miraflores,Lima,NA,11,1182.79,NA
V0183,USA,73,F,Iquitos,Loreto,NA,7,500.07,Barco
V0184,Brasil,40,F,Lago Titicaca,Puno,,10,,
V0185,Chile,,,Valle del Colca,Arequipa,,,3303.62,Auto
V0186,Perú,,M,Huacachina,Ica,NA,,,Barco
V0187,México,31,O,Valle del Colca,Arequipa,,12,3332.48,Avión
V0188,Colombia,64,M,Machu Picchu,Cusco,NA,,1607.63,
V0189,Perú,47,O,Valle del Colca,Arequipa,2024-06-09,10,1397.65,Auto
V0190,Chile,,,Huacachina,Ica,2024-09-02,11,,Bus
V0191,México,,,Valle del Colca,Arequipa,NA,5,3937.38,Auto
V0192,Perú,44,,Iquitos,Loreto,,1,3205.73,Bus
V0193,Argentina,,O,Miraflores,Lima,2025-04-18,,,Auto
V0194,México,,O,Lago Titicaca,Puno,NA,13,,Tren
V0195,México,65,F,Huacachina,Ica,2025-02-18,,2857.85,Tren
V0196,México,,,Lago Titicaca,Puno,NA,3,2595.3,Auto
V0197,Perú,,O,Iquitos,Loreto,NA,8,3270.94,Barco
V0198,Ecuador,,O,Miraflores,Lima,NA,,4844.41,Avión
V0199,USA,,,Lago Titicaca,Puno,,2,,Barco
V0200,Perú,,,Valle del Colca,Arequipa,NA,6,1482.95,NA
V0201,México,,,Machu Picchu,Cusco,2024-08-13,13,1794.11,Tren
V0202,Colombia,,,Cusco Ciudad,Cusco,2025-11-26,14,,Barco
V0203,Perú,,M,Huacachina,Ica,2024-07-01,,,NA
V0204,Chile,,M,Lago Titicaca,Puno,NA,,3080.14,Auto
V0205,Chile,,M,Machu Picchu,Cusco,2025-11-02,,,Bus
V0206,Perú,,,Miraflores,Lima,2025-01-15,5,,Avión
V0207,Alemania,,,Cusco Ciudad,Cusco,NA,5,1260.85,
V0208,México,,O,Valle del Colca,Arequipa,,,3874.19,NA
V0209,Brasil,,,Iquitos,Loreto,,10,4064.57,NA
V0210,España,,,Huacachina,Ica,NA,,708.9,Bus
V0211,Perú,42,O,Lago Titicaca,Puno,2024-11-16,,4671.41,
V0212,Brasil,,O,Cusco Ciudad,Cusco,,7,,Avión
V0213,Perú,,M,Iquitos,Loreto,2024-10-02,,1315.05,Tren
V0214,México,50,M,Valle del Colca,Arequipa,NA,,4928.92,
V0215,USA,,,Centro Histórico,Lima,NA,,2315.95,NA
V0216,Chile,,,Lago Titicaca,Puno,NA,6,3988.42,Avión
V0217,Chile,25,,Huacachina,Ica,NA,,,Barco
V0218,Colombia,,O,Chan Chan,La Libertad,NA,4,,
V0219,Perú,,,Miraflores,Lima,NA,8,2190.9,NA
V0220,Perú,,O,Huacachina,Ica,,,1795.65,
V0220,Perú,,O,Huacachina,Ica,,,1795.65,
V0221,Ecuador,55,O,Machu Picchu,Cusco,,3,,Barco
V0222,Argentina,,,Huacachina,Ica,NA,,,
V0223,Perú,,,Huacachina,Ica,2025-08-25,,,Barco
V0224,Argentina,,,Huacachina,Ica,,5,3541.54,Bus
V0225,Colombia,,,Miraflores,Lima,2025-11-03,8,,Barco
V0226,Perú,60,,Iquitos,Loreto,,8,,Bus
V0227,México,26,,Lago Titicaca,Puno,,,1623.67,Bus
V0228,Perú,25,,Miraflores,Lima,,11,,Tren
V0229,Perú,,,Cusco Ciudad,Cusco,2024-09-18,7,2343.06,Avión
V0230,Brasil,,M,Centro Histórico,Lima,,,1141.19,
V0231,Francia,,F,Huacachina,Ica,NA,8,,Avión
V0232,Ecuador,,F,Huacachina,Ica,2025-03-27,,592.94,Auto
V0233,Chile,,O,Centro Histórico,Lima,NA,13,3055.57,Auto
V0234,Chile,,M,Chan Chan,La Libertad,2025-02-27,,2182.01,Auto
V0235,Perú,,M,Centro Histórico,Lima,2024-07-06,,313.64,NA
V0236,Colombia,36,O,Huacachina,Ica,NA,,,
V0237,Argentina,,M,Iquitos,Loreto,,,,NA
V0238,Perú,,O,Machu Picchu,Cusco,2025-01-14,7,800.44,
V0239,USA,,,Chan Chan,La Libertad,,,,NA
V0240,Perú,,F,Valle del Colca,Arequipa,2025-12-06,8,,Barco
V0241,Perú,25,,Chan Chan,La Libertad,2025-01-23,,990.62,Tren
V0242,México,16,,Chan Chan,La Libertad,2024-04-18,,,Auto
V0243,México,64,M,Valle del Colca,Arequipa,2025-01-03,,2910.21,Avión
V0244,Chile,68,F,Chan Chan,La Libertad,,,4838.63,NA
V0245,Perú,,F,Huacachina,Ica,NA,12,3682.01,
V0246,Chile,18,F,Chan Chan,La Libertad,2025-04-13,4,,NA
V0247,Colombia,,,Iquitos,Loreto,,,,
V0248,Brasil,,,Machu Picchu,Cusco,NA,,,NA
V0249,Chile,,O,Machu Picchu,Cusco,NA,,,NA
V0250,México,,,Lago Titicaca,Puno,,1,526.0,NA
V0251,USA,25,,Machu Picchu,Cusco,NA,,,NA
V0252,Perú,61,,Chan Chan,La Libertad,,12,,NA
V0253,Perú,,,Huacachina,Ica,,5,432.83,Auto
V0254,México,,,Machu Picchu,Cusco,,2,,Bus
V0255,México,,,Valle del Colca,Arequipa,2025-12-06,10,,NA
V0256,Ecuador,68,O,Chan Chan,La Libertad,NA,1,1448.28,
V0256,Ecuador,68,O,Chan Chan,La Libertad,NA,1,1448.28,
V0257,Brasil,17,F,Huacachina,Ica,NA,10,1210.64,Avión
V0258,Perú,,,Huacachina,Ica,NA,,3487.7,NA
V0259,España,39,F,Iquitos,Loreto,,9,1606.88,Auto
V0260,México,57,,Valle del Colca,Arequipa,,,3214.72,Tren
V0261,Perú,,,Lago Titicaca,Puno,NA,12,2255.37,Auto
V0262,Chile,,,Cusco Ciudad,Cusco,NA,7,,Barco
V0263,Francia,,,Iquitos,Loreto,2025-08-09,,732.47,Barco
V0264,Perú,50,,Centro Histórico,Lima,,,2890.63,Bus
V0265,Perú,,,Machu Picchu,Cusco,NA,12,3242.01,Bus
V0266,Brasil,31,M,Miraflores,Lima,NA,,3646.02,
V0267,Perú,,,Chan Chan,La Libertad,NA,1,,
V0268,Perú,,O,Machu Picchu,Cusco,2025-07-24,6,1369.27,NA
V0269,Argentina,15,M,Lago Titicaca,Puno,NA,12,3585.9,
V0270,Chile,,,Iquitos,Loreto,2024-03-05,,4443.17,Avión
V0271,Perú,43,,Chan Chan,La Libertad,2024-08-18,,,Auto
V0272,Colombia,42,M,Chan Chan,La Libertad,2024-06-08,,,Tren
V0273,Chile,,O,Valle del Colca,Arequipa,NA,,,NA
V0274,Perú,47,M,Valle del Colca,Arequipa,NA,11,,
V0275,Perú,,O,Valle del Colca,Arequipa,2025-10-26,,,Auto
V0276,Colombia,,O,Huacachina,Ica,,9,,Avión
V0277,Chile,,F,Iquitos,Loreto,2025-07-19,6,,Barco
V0278,USA,,M,Huacachina,Ica,,,3966.02,Avión
V0279,México,,O,Lago Titicaca,Puno,2024-12-17,2,,Tren
V0280,USA,57,,Iquitos,Loreto,,,1334.58,
V0281,Alemania,42,M,Valle del Colca,Arequipa,2025-02-20,12,,Barco
V0282,Colombia,53,F,Machu Picchu,Cusco,,8,3063.36,Barco
V0283,Brasil,58,,Centro Histórico,Lima,,,,Barco
V0284,Perú,,,Valle del Colca,Arequipa,,2,3661.18,
V0285,Ecuador,,O,Centro Histórico,Lima,,6,,NA
V0286,Perú,56,O,Cusco Ciudad,Cusco,,1,,NA
V0287,Ecuador,50,O,Centro Histórico,Lima,NA,,4943.28,
V0288,Francia,24,,Chan Chan,La Libertad,,10,4150.66,Avión
V0289,USA,,,Chan Chan,La Libertad,,13,2964.31,
V0290,España,,F,Machu Picchu,Cusco,,6,,Bus
V0291,Colombia,32,F,Iquitos,Loreto,2025-11-08,,,
V0292,USA,,,Cusco Ciudad,Cusco,NA,5,,Tren
V0293,Ecuador,22,,Chan Chan,La Libertad,,,474.58,Avión
V0294,USA,,,Centro Histórico,Lima,2024-12-28,4,,Auto
V0295,México,,F,Miraflores,Lima,,,4022.37,Barco
V0296,Argentina,,,Lago Titicaca,Puno,NA,,,Tren
V0297,México,,,Huacachina,Ica,NA,,,Bus
V0298,España,,O,Huacachina,Ica,,12,,Bus
V0299,Perú,54,O,Huacachina,Ica,,,3667.24,Tren
V0300,Chile,,,Lago Titicaca,Puno,NA,,,
V0301,Colombia,73,M,Valle del Colca,Arequipa,NA,3,2278.8,Auto
V0302,Colombia,,,Iquitos,Loreto,,6,,Tren
V0303,Argentina,,O,Centro Histórico,Lima,2025-07-31,,,Auto
V0304,Ecuador,,,Valle del Colca,Arequipa,2025-01-08,1,,Avión
V0305,Chile,,O,Huacachina,Ica,2025-02-15,,3957.31,NA
V0306,Brasil,,,Iquitos,Loreto,,,2454.21,Avión
V0307,Perú,,,Chan Chan,La Libertad,2024-05-14,,,Bus
V0308,Perú,35,,Valle del Colca,Arequipa,NA,12,,Auto
V0309,USA,,,Huacachina,Ica,2025-07-21,2,3855.6,NA
V0310,Colombia,16,,Huacachina,Ica,2025-11-20,5,,Avión
V0311,USA,,,Chan Chan,La Libertad,,7,1251.69,Tren
V0312,Perú,,,Valle del Colca,Arequipa,NA,,,NA
V0313,España,,O,Iquitos,Loreto,2025-01-23,12,3139.0,
V0314,México,,F,Huacachina,Ica,,11,,NA
V0315,Perú,71,,Lago Titicaca,Puno,,14,,Bus
V0316,Perú,,,Valle del Colca,Arequipa,2025-09-17,3,,
V0317,Perú,,,Miraflores,Lima,2024-07-03,,,Tren
V0318,Bolivia,59,O,Centro Histórico,Lima,2025-03-13,,,NA
V0319,Perú,36,F,Miraflores,Lima,,13,2676.98,
V0320,Perú,,,Chan Chan,La Libertad,,12,3100.49,Avión
V0321,Perú,,,Huacachina,Ica,2024-12-24,5,1632.45,NA
V0322,Argentina,,,Iquitos,Loreto,NA,,,Auto
V0323,México,,,Huacachina,Ica,2024-05-16,12,,NA
V0324,Chile,,,Iquitos,Loreto,NA,2,,Barco
V0325,Argentina,,O,Miraflores,Lima,NA,,3062.84,Bus
V0326,Bolivia,,F,Huacachina,Ica,NA,12,,Tren
V0327,USA,,O,Chan Chan,La Libertad,NA,,2738.96,NA
V0328,Argentina,,,Miraflores,Lima,,,2117.86,
V0329,Colombia,,O,Cusco Ciudad,Cusco,,,,Tren
V0330,Perú,29,,Centro Histórico,Lima,2024-06-20,,,Auto
V0331,Ecuador,,O,Huacachina,Ica,NA,,,Auto
V0332,Perú,,,Miraflores,Lima,2025-06-08,12,,Barco
V0333,Ecuador,60,,Iquitos,Loreto,2025-02-15,5,3868.6,Tren
V0334,México,,O,Iquitos,Loreto,,13,,NA
V0335,Perú,,F,Miraflores,Lima,,13,165.83,Avión
V0336,Bolivia,,M,Valle del Colca,Arequipa,2024-05-09,,3374.4,Auto
V0337,Perú,47,F,Lago Titicaca,Puno,,4,,Tren
V0338,Alemania,,O,Miraflores,Lima,2025-01-12,2,1828.9,
V0339,Perú,,O,Chan Chan,La Libertad,2025-12-08,,,Tren
V0340,USA,43,F,Cusco Ciudad,Cusco,2024-06-15,,,Auto
V0341,Perú,,O,Machu Picchu,Cusco,,13,,NA
V0342,Perú,,O,Lago Titicaca,Puno,,,,Barco
V0343,Alemania,,,Iquitos,Loreto,NA,,,NA
V0344,Perú,63,,Iquitos,Loreto,NA,,,
V0345,Perú,,,Valle del Colca,Arequipa,NA,,,
V0346,USA,,F,Huacachina,Ica,NA,12,,
V0347,Colombia,,F,Valle del Colca,Arequipa,NA,5,,Barco
V0348,Argentina,,,Valle del Colca,Arequipa,2025-04-03,2,626.02,Barco
V0349,Perú,,O,Huacachina,Ica,,13,,Tren
V0350,Argentina,64,,Centro Histórico,Lima,2024-05-21,,3767.89,Bus
V0351,Ecuador,55,,Valle del Colca,Arequipa,2024-08-28,10,,Auto
V0352,Chile,,O,Chan Chan,La Libertad,NA,,1922.84,Avión
V0353,Perú,73,,Machu Picchu,Cusco,2025-03-01,13,,Tren
V0354,Perú,,F,Lago Titicaca,Puno,,,3546.19,
V0355,Perú,63,,Lago Titicaca,Puno,NA,5,1776.12,Auto
V0356,Argentina,,M,Centro Histórico,Lima,,,,
V0357,México,,O,Miraflores,Lima,2025-01-24,,,Avión
V0358,España,,O,Huacachina,Ica,NA,5,4238.8,
V0359,México,,F,Machu Picchu,Cusco,2025-11-27,,,Tren
V0360,México,,,Machu Picchu,Cusco,,,210.61,Avión
V0361,Colombia,50,,Chan Chan,La Libertad,NA,,230.79,
V0362,Chile,,,Iquitos,Loreto,,8,,
V0363,Chile,16,F,Huacachina,Ica,2025-05-27,,,Avión
V0364,Argentina,,,Chan Chan,La Libertad,,,,Avión
V0365,México,,,Valle del Colca,Arequipa,,5,,NA
V0366,Perú,24,,Miraflores,Lima,2024-12-05,5,4599.33,Barco
V0367,Perú,,M,Cusco Ciudad,Cusco,NA,4,2658.68,NA
V0368,Colombia,51,,Valle del Colca,Arequipa,NA,13,,
V0369,México,,,Iquitos,Loreto,2025-06-17,,,NA
V0370,Perú,,M,Chan Chan,La Libertad,NA,14,,Tren
V0371,Perú,,M,Huacachina,Ica,,,,Barco
V0372,Argentina,,,Chan Chan,La Libertad,NA,10,,Barco
V0373,USA,62,,Chan Chan,La Libertad,NA,10,2974.39,Barco
V0374,Brasil,,M,Cusco Ciudad,Cusco,NA,,,Auto
V0375,México,72,,Miraflores,Lima,,7,,Barco
V0376,Colombia,71,M,Centro Histórico,Lima,NA,14,3648.82,Avión
V0377,Perú,,,Huacachina,Ica,2024-09-17,6,4542.82,Tren
V0378,Ecuador,,,Huacachina,Ica,,1,4197.64,Barco
V0379,México,,,Huacachina,Ica,,,,NA
V0380,Perú,,,Machu Picchu,Cusco,NA,6,4495.66,Auto
V0381,Ecuador,,M,Chan Chan,La Libertad,NA,,,Bus
V0382,USA,,,Cusco Ciudad,Cusco,NA,,,Bus
V0383,Perú,,,Valle del Colca,Arequipa,,12,3055.43,Bus
V0384,Perú,,,Cusco Ciudad,Cusco,2025-10-24,7,3534.83,NA
V0385,Perú,20,,Centro Histórico,Lima,NA,7,,
V0386,México,52,,Chan Chan,La Libertad,NA,,947.95,Barco
V0387,México,,,Lago Titicaca,Puno,2025-02-12,,2917.55,
V0388,Perú,45,,Iquitos,Loreto,NA,11,,
V0389,USA,,O,Chan Chan,La Libertad,NA,5,,Tren
V0390,Perú,,F,Huacachina,Ica,NA,,,Auto
V0391,Brasil,16,,Machu Picchu,Cusco,NA,8,,NA
V0392,USA,,O,Valle del Colca,Arequipa,2025-07-06,,1876.94,Auto
V0393,México,,F,Iquitos,Loreto,NA,9,392.55,
V0394,Perú,31,F,Valle del Colca,Arequipa,NA,,3204.88,Tren
V0395,Perú,,,Huacachina,Ica,NA,,,Avión
V0396,Perú,46,F,Chan Chan,La Libertad,,,,Tren
V0397,Chile,,,Valle del Colca,Arequipa,,2,,Tren
V0398,México,40,,Chan Chan,La Libertad,2024-03-17,,2062.15,
V0399,Brasil,30,F,Chan Chan,La Libertad,NA,,1136.49,NA
V0400,Ecuador,,,Miraflores,Lima,2025-05-22,,4099.17,Bus
V0401,Perú,,O,Huacachina,Ica,NA,,482.29,Barco
V0402,México,47,,Iquitos,Loreto,2024-06-26,,,NA
V0403,Perú,,,Miraflores,Lima,NA,,2863.59,Tren
