id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0080,Brasil,,M,Cusco Ciudad,Cusco,,,2216.49,Barco
V0081,USA,74,F,Cusco Ciudad,Cusco,,7,4222.34,Barco
V0082,España,26,O,Chan Chan,La Libertad,NA,,,
V0083,Ecuador,,,Centro Histórico,Lima,,,392.81,Avión
V0084,Ecuador,22,F,Iquitos,Loreto,,8,,Avión
V0085,Brasil,,M,Valle del Colca,Arequipa,2025-09-29,12,,Bus
V0086,Perú,,,Huacachina,Ica,2025-05-01,12,,
V0087,Francia,54,,Valle del Colca,Arequipa,NA,13,,NA
V0088,Argentina,,,Centro Histórico,Lima,2025-04-12,7,2834.12,Barco
V0089,Argentina,22,M,Valle del Colca,Arequipa,,9,,
V0090,Ecuador,,,Lago Titicaca,Puno,,7,4102.45,Tren
V0091,México,,M,Lago Titicaca,Puno,2025-11-30,,2739.45,Auto
V0092,Argentina,,O,Huacachina,Ica,,7,,Bus
V0093,Colombia,,,Lago Titicaca,Puno,NA,9,4552.13,Tren
V0094,Chile,,,Iquitos,Loreto,,13,,Tren
V0095,Argentina,,,Lago Titicaca,Puno,2025-08-14,,1535.04,Bus
V0096,Colombia,73,O,Lago Titicaca,Puno,,,,
V0097,USA,45,F,Huacachina,Ica,,,3880.08,Bus
V0098,España,,M,Chan Chan,La Libertad,,,,Avión
V0099,México,,O,Huacachina,Ica,2024-02-24,10,,Auto
V0100,Chile,,F,Huacachina,Ica,NA,,,Auto
V0101,Perú,,,Chan Chan,La Libertad,,4,3099.02,Bus
V0102,Ecuador,,,Lago Titicaca,Puno,NA,7,2991.1,NA
V0103,Chile,,M,Valle del Colca,Arequipa,,2,,Bus
V0104,Perú,,,Valle del Colca,Arequipa,,3,,Bus
V0105,Argentina,,,Valle del Colca,Arequipa,,,,Avión
V0106,Perú,,M,Huacachina,Ica,NA,,,Barco
V0107,Perú,,F,Chan Chan,La Libertad,NA,,,Auto
V0108,Perú,,,Iquitos,Loreto,,,75.55,Avión
V0109,Colombia,,O,Huacachina,Ica,2024-08-28,14,3342.82,
V0110,Colombia,,,Iquitos,Loreto,,,53.08,NA
V0111,Ecuador,30,,Lago Titicaca,Puno,,2,1855.76,Barco
V0112,Argentina,48,O,Machu Picchu,Cusco,2025-01-08,13,,Bus
V0113,Perú,,,Lago Titicaca,Puno,NA,,,Avión
V0114,Bolivia,,M,Chan Chan,La Libertad,,,,Auto
V0115,USA,,,Valle del Colca,Arequipa,2024-01-30,1,1079.84,Bus
V0116,Perú,,F,Cusco Ciudad,Cusco,,5,,Bus
V0117,USA,,,Chan Chan,La Libertad,NA,,3942.39,Auto
V0118,México,,,Iquitos,Loreto,2025-09-06,11,,Avión
V0119,Perú,,,Huacachina,Ica,NA,,,Auto
V0120,Perú,,,Iquitos,Loreto,2025-04-12,,,NA
V0121,Perú,,,Lago Titicaca,Puno,2024-09-15,10,,Tren
V0122,Argentina,,F,Centro Histórico,Lima,,,2955.37,Auto
V0123,Perú,,,Valle del Colca,Arequipa,2025-05-28,,3779.48,NA
V0124,Chile,46,F,Valle del Colca,Arequipa,,,,Tren
V0125,Argentina,,M,Chan Chan,La Libertad,2025-07-27,6,336.19,Auto
V0126,Perú,39,F,Miraflores,Lima,NA,7,,Bus
V0127,Perú,,,Lago Titicaca,Puno,2025-10-05,,,NA
V0128,Colombia,,,Chan Chan,La Libertad,,11,,Barco
V0129,Perú,26,F,Valle del Colca,Arequipa,NA,4,1954.08,Auto
V0130,Argentina,,F,Centro Histórico,Lima,2025-03-14,,3917.37,Auto
V0131,Alemania,,M,Chan Chan,La Libertad,,4,1693.73,Avión
V0132,Perú,,,Valle del Colca,Arequipa,2025-10-18,11,,Avión
V0133,Brasil,,M,Huacachina,Ica,2025-06-29,5,4668.86,NA
V0134,Brasil,69,F,Centro Histórico,Lima,2024-07-23,,,Barco
V0135,Perú,,,Chan Chan,La Libertad,2024-07-16,,,Avión
V0136,Chile,25,F,Machu Picchu,Cusco,,,3491.45,Bus
V0137,México,45,O,Huacachina,Ica,NA,,,Tren
V0138,México,,,Valle del Colca,Arequipa,NA,4,3414.65,Tren
V0139,USA,,M,Huacachina,Ica,,,1720.54,NA
V0140,USA,55,,Chan Chan,La Libertad,,,2005.91,Auto
V0141,Chile,,F,Machu Picchu,Cusco,2024-11-12,3,2064.47,
V0142,USA,,M,Valle del Colca,Arequipa,2025-09-22,,1754.86,NA
V0143,Bolivia,,O,Machu Picchu,Cusco,2025-04-25,,,
V0144,USA,39,,Huacachina,Ica,2024-11-01,8,,Barco
V0145,Brasil,,O,Miraflores,Lima,NA,,,Barco
V0146,Ecuador,,O,Huacachina,Ica,2024-09-10,,,Tren
V0147,Brasil,,F,Valle del Colca,Arequipa,,4,4186.96,Barco
V0148,México,,O,Machu Picchu,Cusco,2025-03-22,,305.46,Barco
V0149,Perú,,O,Valle del Colca,Arequipa,,6,,
V0150,Bolivia,,M,Valle del Colca,Arequipa,,14,,
V0151,Alemania,57,O,Chan Chan,La Libertad,2025-09-17,,2332.32,Auto
V0152,Perú,45,,Iquitos,Loreto,,13,2199.27,Barco
V0153,Argentina,,O,Iquitos,Loreto,2025-06-23,13,3346.7,Bus
V0154,México,,,Valle del Colca,Arequipa,NA,,,Bus
V0155,Perú,,O,Chan Chan,La Libertad,NA,6,,Avión
V0156,Chile,,O,Valle del Colca,Arequipa,NA,1,4702.56,Tren
V0157,México,49,,Lago Titicaca,Puno,2024-04-14,11,2554.3,Tren
V0158,Perú,,,Lago Titicaca,Puno,NA,3,,Avión
V0159,Perú,62,M,Lago Titicaca,Puno,NA,8,2211.57,Tren
V0160,Perú,,O,Valle del Colca,Arequipa,2025-07-28,,,Auto
V0161,Colombia,,F,Machu Picchu,Cusco,,,4979.98,Bus
V0162,Perú,,,Centro Histórico,Lima,2025-01-16,13,,Avión
V0163,Perú,20,F,Huacachina,Ica,2024-04-17,,,Avión
V0164,Colombia,73,F,Huacachina,Ica,,,,Avión
V0165,Perú,,F,Iquitos,Loreto,,11,,Tren
V0166,Perú,,M,Iquitos,Loreto,2024-06-20,,,Barco
V0167,Brasil,,M,Valle del Colca,Arequipa,NA,11,321.15,Avión
V0168,Colombia,26,M,Cusco Ciudad,Cusco,NA,,,Tren
V0169,Perú,,M,Iquitos,Loreto,NA,,,Auto
V0170,Perú,,O,Chan Chan,La Libertad,NA,,,Bus
V0171,Perú,59,,Lago Titicaca,Puno,2025-04-05,11,2151.36,Avión
V0172,USA,,O,Cusco Ciudad,Cusco,2024-02-19,7,3215.88,Auto
V0173,Perú,72,,Miraflores,Lima,2025-11-20,8,,
V0174,Argentina,,O,Valle del Colca,Arequipa,,5,,Barco
V0175,México,,F,Iquitos,Loreto,,14,1851.48,
V0176,Perú,,,Huacachina,Ica,NA,,3534.1,Tren
V0177,Colombia,,M,Huacachina,Ica,2024-01-17,5,412.31,
V0178,Perú,,O,Chan Chan,La Libertad,NA,4,,NA
V0179,Argentina,,O,Machu Picchu,Cusco,2025-10-16,9,242.31,NA
V0180,Argentina,,F,Valle del Colca,Arequipa,2024-03-23,1,,Avión
V0181,México,,F,Iquitos,Loreto,2025-09-06,,,Auto
V0182,USA,,M,Cusco Ciudad,Cusco,2024-12-26,,1458.4,Auto
V0183,Colombia,,F,Chan Chan,La Libertad,NA,,,Auto
V0184,Perú,,,Centro Histórico,Lima,,11,624.13,Avión
V0185,Chile,,O,Valle del Colca,Arequipa,NA,,3834.15,Tren
V0186,USA,52,M,Centro Histórico,Lima,NA,,,NA
V0187,Perú,68,F,Centro Histórico,Lima,2025-07-05,7,,
V0188,Brasil,,O,Centro Histórico,Lima,,11,,NA
V0189,México,33,,Chan Chan,La Libertad,NA,,,Avión
V0190,Perú,20,M,Huacachina,Ica,2024-05-21,,,
V0191,Perú,,,Cusco Ciudad,Cusco,NA,,4534.7,Tren
V0192,Argentina,,,Chan Chan,La Libertad,NA,1,,NA
V0193,México,,,Huacachina,Ica,NA,2,,Bus
V0194,Chile,,M,Chan Chan,La Libertad,2025-11-29,11,,Avión
V0195,México,,,Centro Histórico,Lima,NA,10,,Avión
V0196,Perú,32,F,Lago Titicaca,Puno,NA,,,Avión
V0197,Brasil,49,,Valle del Colca,Arequipa,NA,1,,
V0198,España,,M,Valle del Colca,Arequipa,2024-01-10,6,,Tren
V0199,Colombia,,,Iquitos,Loreto,2025-08-03,,,Bus
V0200,Chile,,F,Centro Histórico,Lima,,13,3517.8,Bus
V0201,Perú,,F,Valle del Colca,Arequipa,,1,3627.44,
V0202,Colombia,,F,Centro Histórico,Lima,NA,1,,Barco
V0203,Perú,,O,Iquitos,Loreto,NA,14,,Bus
V0204,Bolivia,,F,Machu Picchu,Cusco,NA,,4412.52,NA
V0205,Colombia,,,Lago Titicaca,Puno,,7,,Avión
V0206,Chile,,,Iquitos,Loreto,NA,,,Avión
V0207,Perú,,M,Machu Picchu,Cusco,,6,,
V0208,México,,F,Iquitos,Loreto,,,4367.08,
V0209,México,,O,Lago Titicaca,Puno,NA,,,Auto
V0210,Colombia,66,O,Huacachina,Ica,,13,,Barco
V0211,México,,O,Machu Picchu,Cusco,2024-01-10,13,,Barco
V0212,México,68,,Chan Chan,La Libertad,2024-08-02,,,NA
V0213,Perú,,F,Huacachina,Ica,2024-09-05,10,1846.03,Barco
V0214,Brasil,,,Cusco Ciudad,Cusco,,,,
V0215,USA,,O,Cusco Ciudad,Cusco,2025-10-31,,1529.63,
V0216,Perú,,F,Lago Titicaca,Puno,,,,NA
V0217,Perú,38,F,Cusco Ciudad,Cusco,,1,,Bus
V0218,Chile,,O,Chan Chan,La Libertad,2025-03-22,,,Auto
V0219,Colombia,,O,Iquitos,Loreto,NA,14,,Avión
V0220,Chile,,O,Lago Titicaca,Puno,2025-05-03,,2697.54,Auto
V0221,Brasil,,,Huacachina,Ica,,7,104.41,Barco
V0222,Perú,,,Iquitos,Loreto,2025-09-14,,,
V0223,Perú,,,Huacachina,Ica,2025-12-05,,,Bus
V0224,Perú,,M,Valle del Colca,Arequipa,2024-11-01,4,,Tren
V0225,Colombia,,,Centro Histórico,Lima,NA,,,Bus
V0226,México,,,Lago Titicaca,Puno,2024-10-22,11,3898.42,Auto
V0227,Argentina,,,Machu Picchu,Cusco,,9,,Auto
V0228,México,,,Chan Chan,La Libertad,2025-02-20,11,4121.37,Avión
V0229,Argentina,,,Cusco Ciudad,Cusco,2024-08-11,6,,
V0230,México,20,M,Chan Chan,La Libertad,,10,4131.16,Barco
V0231,Perú,,,Chan Chan,La Libertad,,14,4723.82,NA
V0232,Perú,,,Lago Titicaca,Puno,2024-10-28,3,,Bus
V0233,Perú,15,,Huacachina,Ica,,14,,Avión
V0234,Colombia,,F,Valle del Colca,Arequipa,2024-01-01,9,1702.22,Tren
V0235,Colombia,50,M,Valle del Colca,Arequipa,2025-02-03,,1402.2,Avión
V0236,México,43,O,Lago Titicaca,Puno,,,4972.59,Barco
V0237,España,65,M,Lago Titicaca,Puno,NA,,173.15,Avión
V0238,Argentina,29,F,Huacachina,Ica,NA,12,,Auto
V0239,México,,,Huacachina,Ica,2024-03-24,4,4463.54,Barco
V0240,Colombia,,M,Valle del Colca,Arequipa,NA,,,Bus
V0241,Colombia,57,O,Miraflores,Lima,2024-09-25,4,1887.82,Bus
V0242,Colombia,,,Chan Chan,La Libertad,2024-08-11,8,,NA
V0243,Perú,27,O,Iquitos,Loreto,,1,,
V0244,Colombia,,,Iquitos,Loreto,,8,,NA
V0245,Colombia,,,Chan Chan,La Libertad,,,3314.82,Avión
V0246,USA,69,M,Huacachina,Ica,,,1134.39,Auto
V0247,Perú,,O,Cusco Ciudad,Cusco,2024-12-16,11,728.8,Bus
V0248,Chile,,O,Centro Histórico,Lima,2024-12-22,12,,Bus
V0249,Chile,,,Valle del Colca,Arequipa,,,1106.53,Barco
V0250,Argentina,,M,Lago Titicaca,Puno,,,3972.78,Auto
V0251,México,22,M,Centro Histórico,Lima,,8,3565.83,Bus
V0252,USA,,M,Valle del Colca,Arequipa,NA,14,,Bus
V0253,Colombia,,O,Centro Histórico,Lima,,13,,Auto
V0254,Brasil,,F,Huacachina,Ica,NA,2,3035.95,Barco
V0255,España,22,M,Cusco Ciudad,Cusco,,,,Tren
V0256,México,67,O,Miraflores,Lima,,12,,Barco
V0257,Ecuador,,,Lago Titicaca,Puno,2025-05-23,11,,Barco
V0258,México,,,Iquitos,Loreto,,,,Avión
V0259,México,,F,Lago Titicaca,Puno,2025-07-07,,3703.17,Tren
V0260,Bolivia,50,F,Iquitos,Loreto,NA,13,,
V0261,Chile,,,Huacachina,Ica,NA,11,,
V0262,España,42,O,Lago Titicaca,Puno,,1,,Avión
V0263,Perú,,,Machu Picchu,Cusco,NA,,4498.1,NA
V0264,Alemania,,,Huacachina,Ica,2025-12-14,9,487.81,
V0265,Argentina,,F,Centro Histórico,Lima,NA,,,Auto
V0266,Ecuador,,O,Miraflores,Lima,,3,1341.08,Tren
V0267,Argentina,,O,Huacachina,Ica,,,,Auto
V0268,México,,M,Chan Chan,La Libertad,NA,6,,Avión
V0269,Brasil,23,M,Huacachina,Ica,NA,,,Auto
V0270,México,21,,Lago Titicaca,Puno,2024-06-18,,1562.25,NA
V0271,Alemania,,M,Huacachina,Ica,NA,9,4782.32,NA
V0272,Perú,,,Centro Histórico,Lima,,1,1996.33,NA
V0273,México,,,Iquitos,Loreto,NA,7,,Tren
V0274,Perú,,,Huacachina,Ica,,12,,
V0275,Brasil,,,Iquitos,Loreto,2025-01-06,,,Auto
V0276,Brasil,38,,Chan Chan,La Libertad,2025-11-27,,1866.99,NA
V0277,Brasil,,,Lago Titicaca,Puno,NA,,,Barco
V0278,Perú,,,Chan Chan,La Libertad,2025-09-22,11,4249.59,Bus
V0279,Argentina,55,F,Miraflores,Lima,2024-02-06,1,3699.75,Barco
V0280,Ecuador,,O,Huacachina,Ica,2024-04-21,,,Tren
V0281,España,,F,Valle del Colca,Arequipa,,,859.18,Tren
V0282,Ecuador,34,,Iquitos,Loreto,2024-01-13,,,Auto
V0283,México,,O,Miraflores,Lima,2025-03-31,11,,Bus
V0284,Perú,60,,Valle del Colca,Arequipa,2024-05-27,,4831.29,NA
V0285,Chile,43,,Valle del Colca,Arequipa,2025-11-03,,,
V0286,México,75,F,Valle del Colca,Arequipa,,,,Bus
V0287,Perú,,M,Chan Chan,La Libertad,,10,2898.94,Auto
V0288,USA,,F,Chan Chan,La Libertad,NA,11,4131.66,Bus
V0289,España,39,F,Chan Chan,La Libertad,2024-06-30,,251.35,Bus
V0290,Colombia,,,Huacachina,Ica,,4,4594.17,Tren
V0291,Bolivia,,M,Machu Picchu,Cusco,2025-11-17,3,,Avión
V0292,Brasil,25,F,Chan Chan,La Libertad,2024-05-07,,,
V0293,Perú,39,,Huacachina,Ica,NA,2,4047.84,Bus
V0294,Francia,,F,Iquitos,Loreto,2025-11-29,5,2051.57,Auto
V0295,España,,,Huacachina,Ica,,4,,Avión
V0296,Chile,51,O,Cusco Ciudad,Cusco,,10,1368.79,Tren
V0297,Colombia,,,Valle del Colca,Arequipa,,13,,Auto
V0298,Perú,56,,Huacachina,Ica,,,323.46,Auto
V0299,España,63,,Huacachina,Ica,2025-01-31,14,2035.49,NA
V0300,Ecuador,52,,Lago Titicaca,Puno,2024-04-25,8,4287.35,Tren
V0301,México,68,O,Huacachina,Ica,2024-09-08,1,,Bus
V0302,Colombia,20,,Lago Titicaca,Puno,2024-10-27,,1961.62,Avión
V0303,Perú,52,O,Valle del Colca,Arequipa,NA,,,Bus
V0304,Ecuador,29,,Lago Titicaca,Puno,2024-01-17,13,,NA
V0305,Perú,,,Machu Picchu,Cusco,NA,8,,NA
V0306,Colombia,50,,Valle del Colca,Arequipa,NA,,3553.55,Barco
V0307,Perú,,M,Lago Titicaca,Puno,NA,10,4642.92,NA
V0308,Chile,73,F,Miraflores,Lima,NA,5,,Avión
V0309,Perú,,M,Cusco Ciudad,Cusco,2024-01-17,2,3143.47,NA
V0310,Ecuador,32,O,Huacachina,Ica,NA,11,,NA
V0311,México,42,O,Miraflores,Lima,,8,,Avión
V0312,Perú,50,,Centro Histórico,Lima,,,,Tren
V0313,México,44,,Machu Picchu,Cusco,NA,10,,Avión
V0314,Argentina,71,,Centro Histórico,Lima,2024-09-12,8,4322.6,Tren
V0315,México,40,,Iquitos,Loreto,2024-03-31,,,Auto
V0316,Chile,31,O,Valle del Colca,Arequipa,,,3859.48,Tren
V0317,Argentina,55,O,Iquitos,Loreto,,11,,NA
V0318,México,42,,Iquitos,Loreto,,9,,NA
V0319,Perú,31,M,Huacachina,Ica,2024-04-22,,3966.04,Tren
V0320,Perú,,,Chan Chan,La Libertad,,,1420.92,Bus
V0321,Perú,34,F,Huacachina,Ica,,,,Auto
V0322,México,,F,Chan Chan,La Libertad,2024-06-14,5,,Barco
V0323,México,,,Valle del Colca,Arequipa,2025-12-19,8,,Auto
V0324,Perú,,M,Iquitos,Loreto,NA,14,2718.23,Barco
V0325,USA,,,Cusco Ciudad,Cusco,,,,Bus
V0326,Perú,,,Iquitos,Loreto,2024-03-19,3,,Auto
V0327,Perú,,F,Miraflores,Lima,NA,,,NA
V0328,Chile,22,M,Iquitos,Loreto,,,,
V0329,Francia,,O,Lago Titicaca,Puno,,,,Auto
V0330,Perú,,M,Iquitos,Loreto,2025-11-24,5,,
V0331,Chile,36,,Iquitos,Loreto,,,,
V0332,Perú,,M,Cusco Ciudad,Cusco,,2,1296.97,Bus
V0333,Alemania,,M,Lago Titicaca,Puno,,,1361.14,
V0334,Perú,,O,Huacachina,Ica,NA,12,4433.52,NA
V0335,Colombia,15,,Lago Titicaca,Puno,2025-09-24,12,,Auto
V0336,Perú,42,,Chan Chan,La Libertad,2024-04-29,,,Auto
V0337,Brasil,,M,Miraflores,Lima,2024-03-21,,2795.29,NA
V0338,Brasil,,F,Miraflores,Lima,,10,,Auto
V0339,México,,M,Iquitos,Loreto,,14,4086.29,Bus
V0340,Perú,,F,Miraflores,Lima,NA,8,886.46,NA
V0341,Alemania,,,Valle del Colca,Arequipa,2025-10-22,,,Bus
V0342,México,,,Cusco Ciudad,Cusco,NA,,4943.55,
V0343,Perú,,O,Centro Histórico,Lima,2024-09-27,,3364.01,Barco
V0344,Brasil,,M,Lago Titicaca,Puno,2024-07-09,14,1207.68,Bus
V0345,Perú,,,Lago Titicaca,Puno,,,3994.93,Bus
V0346,Perú,,,Huacachina,Ica,,,4532.43,
V0347,Argentina,,O,Machu Picchu,Cusco,,8,1046.51,Tren
V0348,Argentina,34,,Miraflores,Lima,2024-02-20,,2672.63,NA
V0349,México,57,F,Machu Picchu,Cusco,NA,,,Tren
V0350,Perú,,O,Valle del Colca,Arequipa,NA,,,Auto
V0351,USA,,,Huacachina,Ica,,13,,Bus
V0352,Perú,,F,Iquitos,Loreto,2025-06-15,13,1453.95,Auto
V0353,Argentina,45,,Huacachina,Ica,NA,,,NA
V0354,Ecuador,62,,Valle del Colca,Arequipa,2025-01-25,,,Avión
V0355,México,,F,Huacachina,Ica,2025-03-28,,,Bus
V0356,Perú,22,,Centro Histórico,Lima,2025-07-19,10,3343.27,Tren
V0357,USA,,F,Huacachina,Ica,2024-06-23,,2497.25,NA
V0358,Alemania,,,Lago Titicaca,Puno,NA,,,Tren
V0359,Brasil,,O,Iquitos,Loreto,,7,4395.59,Avión
V0360,México,,F,Valle del Colca,Arequipa,2025-10-22,,,
V0361,Bolivia,25,O,Miraflores,Lima,2024-06-19,10,353.41,Avión
V0362,Alemania,71,,Lago Titicaca,Puno,NA,,4882.52,Avión
V0363,Perú,17,F,Valle del Colca,Arequipa,,,3927.41,Barco
V0364,México,38,,Machu Picchu,Cusco,,3,645.32,Barco
V0365,México,,O,Huacachina,Ica,2025-10-15,,3524.27,Tren
V0366,Brasil,,,Iquitos,Loreto,,8,1257.87,Auto
V0367,Argentina,,M,Centro Histórico,Lima,2024-02-26,,62.74,Auto
V0368,Perú,,M,Lago Titicaca,Puno,NA,,822.44,Avión
V0369,Colombia,27,,Chan Chan,La Libertad,,6,4665.4,Bus
V0370,Ecuador,,F,Chan Chan,La Libertad,2024-04-18,,,Bus
V0371,Brasil,,M,Lago Titicaca,Puno,2024-12-13,12,,
V0372,Perú,,O,Lago Titicaca,Puno,,6,,NA
V0373,México,,,Centro Histórico,Lima,NA,4,,Barco
V0374,Perú,,M,Huacachina,Ica,,,3522.36,
V0375,México,,M,Iquitos,Loreto,,8,,
V0376,Perú,,M,Chan Chan,La Libertad,,,,Tren
V0377,Perú,,M,Chan Chan,La Libertad,2024-10-09,2,,Tren
V0378,México,,F,Iquitos,Loreto,2024-03-17,,,Avión
V0379,México,,M,Huacachina,Ica,2025-11-29,6,,
V0380,México,,M,Lago Titicaca,Puno,,8,3136.33,Bus
V0381,Perú,,,Chan Chan,La Libertad,,3,4642.98,Auto
V0382,Perú,,F,Valle del Colca,Arequipa,2025-02-26,10,,Auto
V0383,Argentina,,,Chan Chan,La Libertad,NA,,,Bus
V0384,Colombia,30,,Chan Chan,La Libertad,2024-12-14,,,NA
V0385,Alemania,27,F,Cusco Ciudad,Cusco,2024-06-22,11,4361.46,Avión
V0386,Argentina,35,M,Huacachina,Ica,,14,,Auto
V0387,Ecuador,,F,Centro Histórico,Lima,2024-10-20,,3474.92,Bus
V0388,Perú,,,Valle del Colca,Arequipa,2024-03-26,10,,Avión
V0389,Argentina,,F,Iquitos,Loreto,2024-07-03,,3264.38,Bus
V0390,Perú,,F,Centro Histórico,Lima,,,,
V0391,Perú,,F,Cusco Ciudad,Cusco,NA,,,Tren
V0392,Ecuador,,,Huacachina,Ica,,3,,NA
V0393,Colombia,28,,Iquitos,Loreto,2025-03-12,,,
V0394,Argentina,,M,Huacachina,Ica,,12,,NA
V0395,Colombia,,F,Cusco Ciudad,Cusco,NA,13,,Avión
V0396,Perú,57,F,Valle del Colca,Arequipa,,1,3402.66,Barco
V0397,México,25,,Huacachina,Ica,2024-05-15,,,NA
V0398,Chile,53,,Cusco Ciudad,Cusco,2024-05-19,12,,Bus
V0399,Perú,,,Centro Histórico,Lima,2024-12-17,,2674.35,Avión
V0400,Perú,,,Chan Chan,La Libertad,NA,,,Auto
